product_id,dataset_id,variable_path,dimensions,variable_name,unit,Long_name,Standard_name,timescale,comment
NWSHELF_MULTIYEAR_PHY_004_009,cmems_mod_nws_phy-uv_my_7km-3D_P1D-m,uv,3D,vo / uo,[ms-1],Northward Current Velocity in the Water Column / Eastward Current Velocity in the Water Column ,northward_sea_water_velocity / eastward_sea_water_velocity,daily,
NWSHELF_MULTIYEAR_PHY_004_009,cmems_mod_nws_phy-uv_my_7km-3D_P1M-m,uv,3D,vo / uo,[ms-1],Northward Current Velocity in the Water Column / Eastward Current Velocity in the Water Column ,northward_sea_water_velocity / eastward_sea_water_velocity,monthly,
NWSHELF_MULTIYEAR_PHY_004_009,cmems_mod_nws_phy-uv_myint_7km-3D_P1M-m,uv,3D,vo / uo,[ms-1],Northward Current Velocity in the Water Column / Eastward Current Velocity in the Water Column ,northward_sea_water_velocity / eastward_sea_water_velocity,monthly?,
NWSHELF_MULTIYEAR_PHY_004_009,cmems_mod_nws_phy-uv_my_7km-2D_PT1H-i,uv,3D,vo / uo,[ms-1],Northward Current Velocity in the Water Column / Eastward Current Velocity in the Water Column ,northward_sea_water_velocity / eastward_sea_water_velocity,hourly,
NWSHELF_MULTIYEAR_PHY_004_009,cmems_mod_nws_phy-t_my_7km-3D_P1D-m,t,3D,thetao,[degrees_C],Sea Water Potential Temperature,sea_water_potential_temperature,daily,
NWSHELF_MULTIYEAR_PHY_004_009,cmems_mod_nws_phy-t_my_7km-3D_P1M-m,t,3D,thetao,[degrees_C],Sea Water Potential Temperature,sea_water_potential_temperature,monthly,
NWSHELF_MULTIYEAR_PHY_004_009,cmems_mod_nws_phy-t_myint_7km-3D_P1M-m,t,3D,thetao,[degrees_C],Sea Water Potential Temperature,sea_water_potential_temperature,monthly?,
NWSHELF_MULTIYEAR_PHY_004_009,cmems_mod_nws_phy-t_my_7km-2D_PT1H-i,t,3D,thetao,[degrees_C],Sea Water Potential Temperature,sea_water_potential_temperature,hourly,manually corrected from cmems_mod_nws_phy-s_my_7km2D_PT1H-i
NWSHELF_MULTIYEAR_PHY_004_009,cmems_mod_nws_phy-s_my_7km-3D_P1D-m,s,3D,so,[1e-3],Sea Water Salinity,sea_water_salinity,daily,
NWSHELF_MULTIYEAR_PHY_004_009,cmems_mod_nws_phy-s_my_7km-3D_P1M-m,s,3D,so,[1e-3],Sea Water Salinity,sea_water_salinity,monthly,
NWSHELF_MULTIYEAR_PHY_004_009,cmems_mod_nws_phy-s_myint_7km-3D_P1M-m,s,3D,so,[1e-3],Sea Water Salinity,sea_water_salinity,monthly?,
NWSHELF_MULTIYEAR_PHY_004_009,cmems_mod_nws_phy-s_my_7km-2D_PT1H-i,s,3D,so,[1e-3],Sea Water Salinity,sea_water_salinity,hourly,
NWSHELF_MULTIYEAR_PHY_004_009,cmems_mod_nws_phy-bottomt_my_7km-2D_P1D-m,bottomt,2D,bottomT,[degrees_C],Sea floor potential temperature,sea_water_potential_temperature_at_sea_floor,daily,
NWSHELF_MULTIYEAR_PHY_004_009,cmems_mod_nws_phy-bottomt_my_7km-2D_P1M-m,bottomt,2D,bottomT,[degrees_C],Sea floor potential temperature,sea_water_potential_temperature_at_sea_floor,monthly,
NWSHELF_MULTIYEAR_PHY_004_009,cmems_mod_nws_phy-bottomt_myint_7km-2D_P1M-m,bottomt,2D,bottomT,[degrees_C],Sea floor potential temperature,sea_water_potential_temperature_at_sea_floor,monthly?,
NWSHELF_MULTIYEAR_PHY_004_009,cmems_mod_nws_phy-bottomt_my_7km-2D_PT1H-i,bottomt,2D,bottomT,[degrees_C],Sea floor potential temperature,sea_water_potential_temperature_at_sea_floor,hourly,
NWSHELF_MULTIYEAR_PHY_004_009,cmems_mod_nws_phy-mld_my_7km-2D_P1D-m,mld,2D,mlotst,[m],Ocean mixed layer thickness defined by density,ocean_mixed_layer_thickness_defined_by sigma_theta,daily,
NWSHELF_MULTIYEAR_PHY_004_009,cmems_mod_nws_phy-mld_my_7km-2D_P1M-m,mld,2D,mlotst,[m],Ocean mixed layer thickness defined by density,ocean_mixed_layer_thickness_defined_by sigma_theta,monthly,
NWSHELF_MULTIYEAR_PHY_004_009,cmems_mod_nws_phy-mld_myint_7km-2D_P1M-m,mld,2D,mlotst,[m],Ocean mixed layer thickness defined by density,ocean_mixed_layer_thickness_defined_by sigma_theta,monthly?,
NWSHELF_MULTIYEAR_PHY_004_009,cmems_mod_nws_phy-mld_my_7km-2D_PT1H-i,mld,2D,mlotst,[m],Ocean mixed layer thickness defined by density,ocean_mixed_layer_thickness_defined_by sigma_theta,hourly,
